plan_id,target_store,scenario_group,working_title,age_band,situation_domain,record_tone,record_flow,length_profile,session_minutes,primary_test_focus,expected_path,source_dataset,source_dataset_id,source_use,status
R001,model_csv,realistic_short,첫 출근에서 실수했지만 질문 하나는 해낸 기록,23-25,career_work,mixed,single_entry,80-150,5,grounding,generate_standard,adult_free_conversation,71631,사건 골격과 구어체,planned
R002,model_csv,realistic_short,퇴근 후 약속을 취소하고 혼자 쉰 기록,26-29,daily_rest,mixed,single_entry,80-150,5,expression_understanding,generate_standard,adult_free_conversation,71631,피로와 안도의 혼합 표현,planned
R003,model_csv,realistic_short,발표에서 목소리가 떨렸지만 끝낸 기록,17-19,study_evaluation,mixed,single_entry,80-150,5,grounding,generate_standard,youth_free_conversation,71632,학교 생활과 청소년 구어체,planned
R004,model_csv,realistic_short,친구 단체 채팅에서 내 말만 넘어간 것 같은 기록,17-19,relationship_family,negative,single_entry,80-150,5,question_boundary,generate_standard,youth_free_conversation,71632,또래 관계와 모호한 해석,planned
R005,model_csv,realistic_short,통학길에 우연히 좋아하는 노래를 들은 기록,20-22,leisure_positive,positive,single_entry,80-150,5,positive_preservation,generate_standard,topic_daily_text,543,평범한 긍정 일상,planned
R006,model_csv,realistic_short,배달비가 아까워 직접 요리했는데 괜찮았던 기록,23-25,finance_housing,positive,single_entry,80-150,5,positive_preservation,generate_standard,topic_daily_text,543,소비와 식생활 일상,planned
R007,model_csv,realistic_short,헬스장에 갔지만 비교 때문에 금방 나온 기록,20-22,health_body,negative,single_entry,80-150,5,grounding,generate_standard,continuous_emotion_dialogue,271,연속 대화의 감정 흐름,planned
R008,model_csv,realistic_short,기대하던 택배가 와서 별일 없이 기뻤던 기록,26-29,leisure_positive,positive,single_entry,80-150,5,positive_preservation,generate_standard,emotional_dialogue_corpus,86,긍정 세부 감정,planned
R009,model_csv,realistic_medium,취업 공고를 보다가 지원 전부터 겁난 기록,20-22,career_work,negative,single_entry,151-500,10,grounding,generate_standard,adult_free_conversation,71631,취업 고민과 반복 표현,planned
R010,model_csv,realistic_medium,월세와 생활비를 계산하며 독립을 고민한 기록,26-29,finance_housing,negative,single_entry,151-500,10,grounding,generate_standard,adult_free_conversation,71631,돈과 주거의 복합 고민,planned
R011,model_csv,realistic_medium,시험을 망친 것 같지만 친구와 웃었던 기록,17-19,study_evaluation,mixed,single_entry,151-500,10,flow_repetition,generate_standard,youth_free_conversation,71632,시험과 또래 일상의 혼합,planned
R012,model_csv,realistic_medium,게임에서 친해진 친구와 처음 통화한 기록,17-19,relationship_family,neutral_or_unclear,single_entry,151-500,10,expression_understanding,generate_standard,youth_free_conversation,71632,온라인 관계와 긴장,planned
R013,model_csv,realistic_medium,가족과 외식 장소를 정하다 서운해진 기록,23-25,relationship_family,negative,single_entry,151-500,10,grounding,generate_standard,topic_daily_text,543,가족과 식생활 화행,planned
R014,model_csv,realistic_medium,출근길 버스를 놓치고 지각할 뻔한 기록,26-29,career_work,negative,single_entry,151-500,10,expression_understanding,generate_standard,topic_daily_text,543,교통과 직장 일상,planned
R015,model_csv,realistic_medium,오랜만에 운동하고 몸은 힘들지만 기분은 괜찮은 기록,20-22,health_body,mixed,single_entry,151-500,10,positive_preservation,generate_standard,continuous_emotion_dialogue,271,혼합 감정의 연속 표현,planned
R016,model_csv,realistic_medium,예전 사진을 보며 그립고 민망했던 기록,23-25,loss_change,mixed,single_entry,151-500,10,expression_understanding,generate_standard,emotional_dialogue_corpus,86,세부 감정 혼합,planned
R017,model_csv,realistic_long,팀 프로젝트에서 역할이 계속 바뀐 하루 기록,26-29,career_work,negative,single_entry,501-1500,20,grounding,generate_standard,adult_free_conversation,71631,긴 업무 서술과 핵심 장면,planned
R018,model_csv,realistic_long,이사 준비 중 물건을 버리며 든 생각 기록,20-22,finance_housing,neutral_or_unclear,single_entry,501-1500,20,flow_repetition,generate_standard,topic_daily_text,543,주거 변화와 여러 세부 사건,planned
R019,model_csv,realistic_long,친구와 멀어진 과정을 되짚으며 해석이 바뀌는 기록,23-25,relationship_family,negative,correction_or_shift,501-1500,20,flow_repetition,generate_standard,continuous_emotion_dialogue,271,관계 정정과 관점 변화,planned
R020,model_csv,realistic_long,건강검진 전후의 걱정과 안도를 함께 쓴 기록,26-29,health_body,mixed,correction_or_shift,501-1500,20,grounding,generate_standard,emotional_dialogue_corpus,86,두려움과 안도의 전환,planned
R021,model_csv,same_scene_split,면접 전 긴장과 끝난 뒤의 후속 기록,20-22,career_work,negative,multi_entry,multi-3-8,25,flow_repetition,generate_standard,adult_free_conversation,71631,같은 사건의 전후 흐름,planned
R022,model_csv,same_scene_split,연인에게 답장이 늦어 서운했다가 이유를 들은 기록,23-25,relationship_family,mixed,correction_or_shift,multi-3-8,30,flow_repetition,generate_standard,adult_free_conversation,71631,오해와 정정,planned
R023,model_csv,same_scene_split,시험 점수를 예상했다가 실제 결과를 확인한 기록,17-19,study_evaluation,negative,correction_or_shift,multi-3-8,30,flow_repetition,generate_standard,youth_free_conversation,71632,예상과 결과의 연결,planned
R024,model_csv,same_scene_split,중고거래 약속이 미뤄졌다가 완료된 기록,26-29,finance_housing,positive,multi_entry,multi-3-8,25,flow_repetition,generate_standard,topic_daily_text,543,거래 과정의 후속 결과,planned
R025,model_csv,same_scene_split,운동 중 포기하고 싶었다가 목표량을 줄여 마친 기록,20-22,health_body,mixed,correction_or_shift,multi-3-8,30,grounding,generate_standard,continuous_emotion_dialogue,271,같은 장면의 행동 변화,planned
R026,model_csv,same_scene_split,공연 예매 실패 후 취소표를 구한 기록,23-25,leisure_positive,positive,correction_or_shift,multi-3-8,30,positive_preservation,generate_standard,emotional_dialogue_corpus,86,실망과 기쁨의 동일 사건,planned
R027,model_csv,unrelated_split,직장 칭찬과 집안일 미룸이 함께 있는 기록,26-29,career_work,mixed,multi_entry,multi-3-8,30,flow_repetition,generate_standard,adult_free_conversation,71631,무관한 성취와 일상 분리,planned
R028,model_csv,unrelated_split,친구와 다툰 일과 좋아하는 간식을 먹은 기록,17-19,relationship_family,mixed,multi_entry,multi-3-8,30,flow_repetition,generate_standard,youth_free_conversation,71632,무관한 관계와 긍정 사건,planned
